respondent,item_id,kind,sample,chosen,correct,ts
llm:llama3,hardy_carrier,transfer,0,B,0,1782943422
llm:llama3,hardy_carrier,transfer,1,B,0,1782943422
llm:llama3,hardy_carrier,transfer,2,B,0,1782943422
llm:llama3,hardy_carrier,transfer,3,B,0,1782943423
llm:llama3,hardy_carrier,transfer,4,B,0,1782943423
llm:llama3,pfk_flux,recall,0,B,1,1782943424
llm:llama3,pfk_flux,recall,1,B,1,1782943425
llm:llama3,pfk_flux,recall,2,B,1,1782943425
llm:llama3,pfk_flux,recall,3,B,1,1782943425
llm:llama3,pfk_flux,recall,4,B,1,1782943426
llm:llama3,pfk_flux,transfer,0,B,1,1782943427
llm:llama3,pfk_flux,transfer,1,B,1,1782943427
llm:llama3,pfk_flux,transfer,2,B,1,1782943427
llm:llama3,pfk_flux,transfer,3,B,1,1782943428
llm:llama3,pfk_flux,transfer,4,B,1,1782943428
llm:llama3,sn1_sn2,recall,0,B,1,1782943429
llm:llama3,sn1_sn2,recall,1,B,1,1782943429
llm:llama3,sn1_sn2,recall,2,B,1,1782943430
llm:llama3,sn1_sn2,recall,3,B,1,1782943430
llm:llama3,sn1_sn2,recall,4,B,1,1782943430
llm:llama3,sn1_sn2,transfer,0,C,0,1782943432
llm:llama3,sn1_sn2,transfer,1,C,0,1782943432
llm:llama3,sn1_sn2,transfer,2,C,0,1782943433
llm:llama3,sn1_sn2,transfer,3,C,0,1782943433
llm:llama3,sn1_sn2,transfer,4,C,0,1782943434
llm:llama3,neg_reinf,recall,0,B,1,1782943435
llm:llama3,neg_reinf,recall,1,B,1,1782943435
llm:llama3,neg_reinf,recall,2,B,1,1782943436
llm:llama3,neg_reinf,recall,3,B,1,1782943436
llm:llama3,neg_reinf,recall,4,B,1,1782943437
llm:llama3,neg_reinf,transfer,0,B,1,1782943438
llm:llama3,neg_reinf,transfer,1,B,1,1782943438
llm:llama3,neg_reinf,transfer,2,B,1,1782943439
llm:llama3,neg_reinf,transfer,3,B,1,1782943439
llm:llama3,neg_reinf,transfer,4,B,1,1782943439
llm:llama3,sdt_criterion,recall,0,B,1,1782943440
llm:llama3,sdt_criterion,recall,1,B,1,1782943441
llm:llama3,sdt_criterion,recall,2,B,1,1782943441
llm:llama3,sdt_criterion,recall,3,B,1,1782943441
llm:llama3,sdt_criterion,recall,4,B,1,1782943442
llm:llama3,sdt_criterion,transfer,0,B,1,1782943443
llm:llama3,sdt_criterion,transfer,1,B,1,1782943444
llm:llama3,sdt_criterion,transfer,2,B,1,1782943445
llm:llama3,sdt_criterion,transfer,3,B,1,1782943445
llm:llama3,sdt_criterion,transfer,4,B,1,1782943447
llm:llama3,tonicity,recall,0,B,1,1782943447
llm:llama3,tonicity,recall,1,B,1,1782943448
llm:llama3,tonicity,recall,2,B,1,1782943448
llm:llama3,tonicity,recall,3,B,1,1782943449
llm:llama3,tonicity,recall,4,B,1,1782943449
llm:llama3,tonicity,transfer,0,C,1,1782943450
llm:llama3,tonicity,transfer,1,C,1,1782943451
llm:llama3,tonicity,transfer,2,C,1,1782943451
llm:llama3,tonicity,transfer,3,C,1,1782943452
llm:llama3,tonicity,transfer,4,C,1,1782943453
llm:llama3,parallel_bulb,recall,0,A,0,1782943454
llm:llama3,parallel_bulb,recall,1,A,0,1782943454
llm:llama3,parallel_bulb,recall,2,A,0,1782943456
llm:llama3,parallel_bulb,recall,3,A,0,1782943456
llm:llama3,parallel_bulb,recall,4,A,0,1782943457
llm:llama3,parallel_bulb,transfer,0,B,1,1782943458
llm:llama3,parallel_bulb,transfer,1,B,1,1782943458
llm:llama3,parallel_bulb,transfer,2,B,1,1782943459
llm:llama3,parallel_bulb,transfer,3,B,1,1782943459
llm:llama3,parallel_bulb,transfer,4,B,1,1782943460
llm:llama3,lechatelier,recall,0,A,0,1782943461
llm:llama3,lechatelier,recall,1,A,0,1782943462
llm:llama3,lechatelier,recall,2,A,0,1782943463
llm:llama3,lechatelier,recall,3,A,0,1782943463
llm:llama3,lechatelier,recall,4,A,0,1782943464
llm:llama3,lechatelier,transfer,0,B,1,1782943465
llm:llama3,lechatelier,transfer,1,B,1,1782943466
llm:llama3,lechatelier,transfer,2,B,1,1782943467
llm:llama3,lechatelier,transfer,3,B,1,1782943468
llm:llama3,lechatelier,transfer,4,B,1,1782943468
